along_track_km,latitude,longitude,surface_elevation_m,bed_elevation_m,ice_thickness_m,median_velocity_m_yr,deformation_velocity_m_yr
15.718,60.405897,-141.053354,2000.2,815.73,1184.46,138.0,19.060668367388832
15.968,60.405352,-141.048945,2001.25,832.67,1168.58,134.0,18.331740073616555
16.218,60.404874,-141.044495,2003.24,856.76,1146.47,140.0,17.343786451421618
16.467,60.404385,-141.040059,2005.85,886.36,1119.5,142.0,16.180999544364393
16.717,60.403918,-141.035608,2009.34,917.79,1091.55,146.0,15.024832373627996
16.969,60.403648,-141.031066,2013.57,950.37,1063.19,140.0,13.902267788899769
17.221,60.403516,-141.026478,2017.07,985.97,1031.11,142.0,12.693425167058257
17.473,60.403286,-141.021921,2019.67,1024.59,995.08,140.0,11.412233069849494
17.726,60.402964,-141.017359,2022.21,1057.07,965.14,130.0,10.408534216035763
17.972,60.402659,-141.012922,2024.35,1081.56,942.79,130.0,9.694959043428232
18.223,60.402333,-141.008384,2026.23,1108.83,917.41,123.0,8.921243659515628
18.473,60.402066,-141.003868,2027.56,1144.37,883.19,113.0,7.938906867141559
